,y
0,1.0
1,1.0
2,1.0
3,3.0
4,3.0
5,1.0
6,3.0
7,1.0
8,2.0
9,3.0
10,2.0
11,1.0
12,2.0
13,3.0
14,3.0
15,3.0
16,3.0
17,3.0
18,1.0
19,1.0
20,3.0
21,1.0
22,2.0
23,3.0
24,1.0
25,1.0
26,1.0
27,3.0
28,3.0
29,3.0
30,1.0
31,1.0
32,1.0
33,1.0
34,3.0
35,3.0
36,2.0
37,1.0
38,3.0
39,1.0
40,3.0
41,1.0
42,1.0
43,1.0
44,3.0
45,1.0
46,2.0
47,3.0
48,1.0
49,2.0
50,1.0
51,2.0
52,1.0
53,1.0
54,3.0
55,2.0
56,3.0
57,2.0
58,2.0
59,3.0
60,3.0
61,1.0
62,1.0
63,3.0
64,1.0
65,3.0
66,3.0
67,3.0
68,1.0
69,3.0
70,1.0
71,2.0
72,1.0
73,1.0
74,1.0
75,1.0
76,3.0
77,3.0
78,2.0
79,1.0
80,1.0
81,3.0
82,1.0
83,1.0
84,1.0
85,3.0
86,1.0
87,3.0
88,3.0
89,2.0
90,1.0
91,2.0
92,2.0
93,1.0
94,1.0
95,3.0
96,3.0
97,2.0
98,1.0
99,1.0
100,3.0
101,1.0
102,3.0
103,1.0
104,3.0
105,1.0
106,3.0
107,3.0
108,2.0
109,3.0
110,1.0
111,2.0
112,2.0
113,2.0
114,1.0
115,3.0
116,3.0
117,3.0
118,1.0
119,3.0
120,1.0
121,1.0
122,1.0
123,2.0
124,1.0
125,1.0
126,1.0
127,3.0
128,1.0
129,3.0
130,1.0
131,3.0
132,1.0
133,1.0
134,3.0
135,3.0
136,3.0
137,1.0
138,3.0
139,1.0
140,1.0
141,1.0
142,2.0
143,2.0
144,3.0
145,3.0
146,1.0
147,3.0
148,3.0
149,3.0
150,3.0
151,1.0
152,2.0
153,3.0
154,1.0
155,1.0
156,2.0
157,3.0
158,3.0
159,2.0
160,1.0
161,3.0
162,3.0
163,3.0
164,1.0
165,1.0
166,1.0
167,1.0
168,1.0
169,3.0
170,1.0
171,3.0
172,1.0
173,1.0
174,1.0
175,1.0
176,3.0
177,3.0
178,3.0
179,3.0
180,3.0
181,2.0
182,1.0
183,1.0
184,3.0
185,2.0
186,1.0
187,3.0
188,1.0
189,1.0
190,1.0
191,2.0
192,3.0
193,1.0
194,2.0
195,3.0
196,1.0
197,1.0
198,1.0
199,2.0
200,1.0
201,3.0
202,1.0
203,3.0
204,1.0
205,1.0
206,1.0
207,3.0
208,2.0
209,3.0
210,1.0
211,1.0
212,1.0
213,1.0
214,3.0
215,2.0
216,1.0
217,1.0
218,3.0
219,3.0
220,2.0
221,3.0
222,3.0
223,3.0
224,3.0
225,1.0
226,1.0
227,1.0
228,2.0
229,1.0
230,1.0
231,3.0
232,1.0
233,2.0
234,2.0
235,3.0
236,3.0
237,2.0
238,1.0
239,1.0
240,1.0
241,1.0
242,3.0
243,2.0
244,1.0
245,1.0
246,2.0
247,1.0
248,3.0
249,3.0
250,3.0
251,3.0
252,1.0
253,1.0
254,1.0
255,1.0
256,1.0
257,3.0
258,3.0
259,1.0
260,3.0
261,2.0
262,1.0
263,1.0
264,1.0
265,3.0
266,3.0
267,3.0
268,3.0
269,3.0
270,2.0
271,1.0
272,3.0
273,3.0
274,1.0
275,1.0
276,3.0
277,3.0
278,2.0
279,2.0
280,1.0
281,2.0
282,2.0
283,1.0
284,3.0
285,1.0
286,1.0
287,1.0
288,2.0
289,1.0
290,3.0
291,1.0
292,3.0
293,3.0
294,3.0
295,3.0
296,1.0
297,1.0
298,1.0
299,1.0
