,3.1,1,1.1,0,1.2,kids,life_is_good,husband_work,2+3+1
0,6,1,1,0,1,2,1,1,3
1,7,1,1,0,3,3,0,1,2
2,3,1,1,0,3,1,0,1,3
3,2,1,1,1,3,1,0,1,3
4,4,1,0,0,1,2,0,0,3
5,0,1,0,0,3,1,0,1,1
6,3,0,1,0,2,1,1,1,3
7,2,1,0,0,1,1,0,1,3
8,4,1,1,0,2,2,1,0,4
9,3,0,1,0,3,1,1,1,3
10,3,1,1,0,1,1,1,1,2
11,1,0,1,0,1,1,0,1,3
12,3,0,1,0,2,1,1,1,4
13,1,0,1,0,2,1,1,1,4
14,5,1,1,0,3,2,1,0,4
15,4,1,1,1,1,2,0,1,1
16,10,1,0,0,1,3,0,1,3
17,2,1,1,0,3,1,0,0,4
18,2,1,1,1,1,1,0,1,1
19,2,0,1,0,2,1,0,1,3
20,1,0,1,0,3,1,0,1,4
21,4,1,1,0,2,2,1,1,4
22,2,1,1,0,3,1,0,1,3
23,2,1,1,0,3,1,0,1,4
24,8,1,1,0,2,3,1,0,4
25,8,1,1,0,2,3,1,0,3
26,2,1,0,0,3,1,1,0,4
27,3,1,1,0,2,1,0,1,4
28,2,1,1,0,3,1,1,1,1
29,1,1,1,0,3,1,0,1,1
30,3,1,1,0,1,1,0,0,3
31,2,1,1,0,2,1,1,1,4
32,8,1,1,0,2,3,0,1,1
33,0,1,0,0,1,1,0,1,3
34,3,1,1,0,3,1,0,1,2
35,0,1,1,0,1,1,0,0,3
36,0,1,1,1,1,1,0,1,1
37,2,1,0,0,3,1,1,1,3
38,4,1,0,0,1,2,0,1,1
39,1,1,1,0,3,1,0,1,4
40,4,1,1,0,1,2,0,1,3
41,8,1,0,0,1,3,0,1,1
42,2,1,1,0,1,1,1,1,3
43,3,1,0,0,1,1,0,1,1
44,3,1,0,0,3,1,1,0,4
45,2,0,1,0,3,1,1,1,4
46,4,1,1,1,3,2,1,1,2
47,2,1,1,0,1,1,0,0,4
48,1,1,1,0,1,1,0,0,3
49,5,1,0,0,1,2,1,1,4
50,1,1,1,0,1,1,1,1,3
51,5,1,0,0,3,2,1,1,2
52,1,1,1,0,2,1,0,0,4
53,3,0,0,0,2,1,1,2,4
54,1,1,1,0,1,1,0,1,3
55,2,1,1,0,3,1,0,1,1
56,2,1,1,0,1,1,1,0,3
57,3,1,1,0,2,1,0,0,3
58,6,1,1,0,1,2,1,1,3
59,4,0,0,0,3,2,1,1,1
60,3,1,1,1,1,1,0,1,1
61,3,1,1,0,2,1,0,1,4
62,2,1,1,0,2,1,0,1,2
63,2,1,1,0,1,1,0,1,1
64,8,1,1,0,2,3,1,0,3
65,1,1,0,0,2,1,0,0,4
66,2,1,0,0,1,1,1,0,4
67,2,1,1,0,3,1,1,1,1
68,2,0,0,0,1,1,0,1,2
69,2,1,1,0,1,1,1,1,3
70,1,1,0,0,1,1,0,1,3
71,4,1,1,0,1,2,0,2,1
72,3,0,1,0,3,1,1,1,4
73,2,1,1,0,3,1,0,1,1
74,8,1,1,1,1,3,0,1,2
75,2,1,1,0,2,1,1,1,4
76,1,1,1,0,3,1,0,1,3
77,6,1,1,0,2,2,0,1,3
78,1,1,1,0,1,1,0,1,3
79,4,1,1,0,3,2,0,1,2
80,6,1,1,0,2,2,0,1,1
81,7,1,1,0,3,3,0,1,3
82,1,0,1,0,1,1,1,0,4
83,1,1,1,0,1,1,0,0,4
84,1,1,1,0,3,1,0,0,4
85,3,1,1,0,1,1,0,1,3
86,2,1,1,0,2,1,1,1,4
87,3,1,1,0,3,1,1,1,3
88,2,1,1,0,3,1,0,1,2
89,1,1,1,0,1,1,1,1,1
90,2,1,1,0,3,1,0,0,3
91,1,1,1,0,1,1,1,1,3
92,4,1,1,1,1,2,0,1,2
93,1,1,1,0,1,1,1,0,4
94,2,1,1,0,2,1,1,1,0
95,1,1,0,0,2,1,1,1,3
96,2,1,0,0,1,1,0,1,3
97,3,1,0,0,3,1,1,0,4
98,6,1,0,0,1,2,0,1,3
99,1,1,0,0,2,1,1,1,4
100,4,1,1,0,3,2,1,0,4
101,5,1,0,1,1,2,0,1,0
102,3,0,1,1,3,1,0,1,2
103,3,1,1,0,3,1,0,1,3
104,8,1,1,1,1,3,0,1,1
105,3,0,1,0,3,1,1,1,3
106,1,1,1,0,1,1,0,1,2
107,1,1,0,0,2,1,0,1,4
108,2,1,1,0,3,1,1,1,4
109,4,1,1,0,3,2,1,1,3
110,2,0,1,0,1,1,0,1,4
111,3,1,1,0,2,1,0,1,1
112,4,1,0,0,3,2,0,1,3
113,1,0,0,0,3,1,1,1,4
114,2,1,1,0,2,1,1,1,4
115,4,1,1,0,2,2,1,0,4
116,2,1,1,0,3,1,0,1,3
117,3,1,1,0,3,1,1,1,4
118,6,1,1,0,3,2,0,1,1
119,5,1,1,0,1,2,0,1,4
120,2,0,1,0,1,1,1,0,4
121,1,0,1,0,1,1,1,1,3
122,5,1,1,0,3,2,1,1,3
123,5,1,1,0,1,2,1,0,3
124,2,0,1,0,3,1,1,0,4
125,1,1,1,0,3,1,1,1,3
126,4,0,0,0,2,2,1,1,4
127,3,1,0,1,3,1,0,1,1
128,4,1,1,0,2,2,1,0,4
129,4,1,1,0,3,2,1,0,3
130,3,1,1,0,3,1,0,1,3
131,2,1,1,0,3,1,0,0,4
132,4,1,1,0,2,2,0,0,4
133,5,1,0,0,2,2,1,0,4
134,3,1,1,0,3,1,1,1,4
135,2,1,1,0,3,1,0,1,2
136,1,1,1,0,3,1,1,0,4
137,5,1,1,0,2,2,1,1,4
138,2,1,0,0,3,1,1,1,1
139,8,1,1,0,1,3,0,1,3
140,4,1,0,0,2,2,1,0,4
141,10,1,1,0,2,3,1,0,4
142,3,1,1,0,3,1,0,1,1
143,1,1,1,0,1,1,0,1,1
144,2,1,0,0,2,1,1,0,4
145,8,1,1,0,1,3,0,1,1
