,y
0,1
1,1
2,1
3,2
4,3
5,3
6,0
7,0
8,1
9,3
10,1
11,3
12,0
13,3
14,3
15,1
16,2
17,2
18,1
19,1
20,2
21,3
22,2
23,2
24,1
25,1
26,3
27,3
28,1
29,1
30,3
31,1
32,0
33,1
34,2
35,2
36,2
37,0
38,2
39,1
40,3
41,1
42,1
43,0
44,0
45,2
46,0
47,3
48,3
49,2
50,1
51,2
52,0
53,3
54,1
55,2
56,3
57,0
58,3
59,2
60,1
61,1
62,2
63,3
64,2
65,1
66,2
67,2
68,3
69,0
70,1
71,2
72,3
73,1
74,1
75,0
76,1
77,3
78,2
79,2
80,1
81,3
82,2
83,2
84,0
85,2
86,2
87,3
88,1
89,0
90,3
91,2
92,3
93,1
94,1
95,3
96,0
97,2
98,1
99,2
100,2
101,1
102,1
103,2
104,3
105,1
106,1
107,1
108,2
109,0
110,1
111,3
112,3
113,1
114,1
115,2
116,3
117,1
118,1
119,2
120,3
121,1
122,3
123,3
124,0
125,1
126,1
127,0
128,1
129,0
130,0
131,3
132,1
133,1
134,1
135,3
136,3
137,1
138,3
139,3
140,0
141,1
142,3
143,1
144,2
145,1
146,1
147,3
148,2
149,2
150,0
151,3
152,2
153,3
154,2
155,1
156,1
157,3
158,2
159,2
160,0
161,3
162,3
163,2
164,1
165,1
166,0
167,1
168,1
169,2
170,3
171,3
172,0
173,1
174,1
175,3
176,3
177,1
178,2
179,2
180,3
181,2
182,1
183,1
184,3
185,2
186,0
187,1
188,1
189,1
190,0
191,3
192,1
193,0
194,1
195,2
196,1
197,1
198,1
199,0
200,3
201,1
202,1
203,0
204,1
205,1
206,3
207,0
208,2
209,0
210,1
211,0
212,1
213,2
214,1
215,2
216,1
217,3
218,0
219,3
220,3
221,3
222,1
223,1
224,2
225,1
226,1
227,3
228,3
229,1
230,1
231,3
232,3
233,2
234,0
235,0
236,1
237,2
238,2
239,0
240,3
241,1
242,2
243,3
244,3
245,2
246,2
247,1
248,3
249,3
250,3
251,3
252,0
253,1
254,3
255,1
256,2
257,0
258,3
259,0
260,3
261,1
262,1
263,1
264,0
265,2
266,0
267,1
268,3
269,3
270,2
271,1
272,2
273,1
274,1
275,0
276,3
277,0
278,2
279,3
280,1
281,2
282,0
283,1
284,3
285,0
286,1
287,1
288,2
289,1
290,1
291,1
292,1
293,1
294,3
295,1
296,3
297,1
298,1
299,1
