,y
0,0
1,1
2,3
3,2
4,0
5,0
6,2
7,1
8,1
9,3
10,1
11,3
12,2
13,3
14,3
15,1
16,2
17,2
18,1
19,1
20,2
21,0
22,2
23,0
24,0
25,1
26,0
27,3
28,1
29,1
30,1
31,1
32,0
33,1
34,2
35,2
36,2
37,0
38,2
39,1
40,0
41,0
42,3
43,0
44,3
45,2
46,0
47,3
48,3
49,2
50,0
51,2
52,2
53,0
54,1
55,2
56,0
57,1
58,3
59,2
60,1
61,1
62,0
63,3
64,1
65,0
66,2
67,2
68,3
69,0
70,0
71,2
72,2
73,1
74,1
75,0
76,1
77,2
78,2
79,2
80,1
81,3
82,2
83,2
84,1
85,2
86,2
87,3
88,3
89,3
90,1
91,2
92,3
93,0
94,0
95,0
96,1
97,2
98,0
99,1
100,2
101,0
102,3
103,3
104,0
105,1
106,1
107,1
108,2
109,0
110,1
111,3
112,3
113,1
114,1
115,2
116,3
117,1
118,1
119,2
120,3
121,1
122,3
123,3
124,1
125,1
126,0
127,0
128,1
129,0
130,0
131,3
132,0
133,3
134,1
135,0
136,3
137,1
138,3
139,1
140,1
141,0
142,1
143,1
144,2
145,1
146,0
147,3
148,2
149,0
150,0
151,3
152,0
153,3
154,0
155,1
156,1
157,0
158,2
159,2
160,2
161,3
162,0
163,2
164,0
165,1
166,0
167,0
168,1
169,2
170,3
171,0
172,0
173,0
174,3
175,1
176,3
177,1
178,2
179,2
180,3
181,2
182,0
183,1
184,3
185,2
186,0
187,1
188,0
189,0
190,1
191,3
192,1
193,0
194,1
195,1
196,1
197,1
198,1
199,3
200,2
201,1
202,1
203,3
204,1
205,1
206,3
207,3
208,2
209,0
210,3
211,2
212,0
213,2
214,3
215,2
216,1
217,0
218,2
219,0
220,3
221,3
222,1
223,1
224,2
225,0
226,1
227,3
228,1
229,1
230,1
231,3
232,1
233,2
234,0
235,0
236,1
237,2
238,0
239,0
240,0
241,1
242,1
243,3
244,3
245,0
246,2
247,1
248,3
249,3
250,3
251,3
252,0
253,0
254,0
255,1
256,2
257,0
258,0
259,2
260,3
261,1
262,1
263,1
264,1
265,3
266,0
267,1
268,0
269,0
270,2
271,1
272,3
273,0
274,0
275,1
276,3
277,0
278,2
279,1
280,1
281,2
282,1
283,1
284,3
285,0
286,0
287,1
288,2
289,3
290,0
291,1
292,1
293,1
294,0
295,1
296,0
297,1
298,3
299,1
