,y
0,1
1,1
2,1
3,1
4,3
5,2
6,0
7,1
8,1
9,3
10,1
11,0
12,0
13,0
14,3
15,1
16,2
17,2
18,1
19,1
20,2
21,3
22,0
23,2
24,1
25,1
26,3
27,0
28,1
29,0
30,3
31,1
32,1
33,1
34,2
35,2
36,2
37,1
38,2
39,1
40,3
41,1
42,3
43,3
44,0
45,2
46,0
47,3
48,3
49,0
50,1
51,0
52,2
53,3
54,1
55,2
56,3
57,0
58,3
59,2
60,0
61,1
62,2
63,0
64,1
65,0
66,2
67,2
68,1
69,3
70,1
71,2
72,3
73,1
74,1
75,1
76,1
77,2
78,2
79,0
80,1
81,3
82,2
83,2
84,0
85,2
86,2
87,3
88,2
89,0
90,0
91,0
92,3
93,0
94,1
95,0
96,0
97,0
98,1
99,1
100,0
101,1
102,0
103,2
104,3
105,1
106,0
107,1
108,0
109,0
110,1
111,3
112,0
113,0
114,1
115,0
116,3
117,3
118,1
119,0
120,3
121,2
122,3
123,1
124,1
125,0
126,1
127,2
128,0
129,0
130,0
131,3
132,1
133,1
134,1
135,3
136,3
137,1
138,3
139,1
140,0
141,1
142,3
143,1
144,0
145,0
146,1
147,0
148,2
149,2
150,3
151,3
152,2
153,3
154,2
155,1
156,1
157,0
158,2
159,2
160,0
161,3
162,0
163,1
164,1
165,1
166,0
167,1
168,1
169,2
170,3
171,3
172,0
173,1
174,1
175,0
176,0
177,0
178,2
179,2
180,0
181,2
182,1
183,1
184,1
185,0
186,1
187,0
188,0
189,1
190,3
191,0
192,0
193,0
194,1
195,2
196,1
197,1
198,1
199,0
200,3
201,1
202,1
203,0
204,1
205,1
206,3
207,2
208,2
209,0
210,3
211,0
212,1
213,2
214,0
215,0
216,1
217,3
218,3
219,0
220,0
221,3
222,1
223,1
224,0
225,1
226,1
227,3
228,3
229,1
230,1
231,2
232,1
233,2
234,2
235,2
236,1
237,0
238,0
239,0
240,2
241,1
242,2
243,3
244,0
245,2
246,0
247,1
248,3
249,3
250,3
251,3
252,0
253,0
254,3
255,1
256,2
257,3
258,2
259,1
260,3
261,1
262,1
263,1
264,1
265,2
266,3
267,1
268,3
269,2
270,2
271,1
272,2
273,1
274,1
275,0
276,0
277,3
278,2
279,3
280,1
281,2
282,0
283,0
284,0
285,1
286,1
287,1
288,2
289,3
290,1
291,1
292,1
293,0
294,0
295,0
296,1
297,1
298,0
299,1
