,y
0,1
1,1
2,1
3,3
4,3
5,1
6,1
7,3
8,2
9,3
10,1
11,3
12,2
13,3
14,3
15,2
16,2
17,3
18,3
19,1
20,2
21,3
22,3
23,3
24,1
25,1
26,1
27,3
28,3
29,3
30,2
31,3
32,1
33,1
34,3
35,2
36,2
37,1
38,2
39,1
40,3
41,2
42,1
43,1
44,3
45,1
46,2
47,2
48,3
49,2
50,2
51,3
52,1
53,1
54,1
55,2
56,3
57,3
58,2
59,3
60,2
61,3
62,1
63,3
64,1
65,3
66,2
67,2
68,1
69,1
70,1
71,2
72,3
73,1
74,1
75,1
76,3
77,2
78,2
79,1
80,3
81,3
82,2
83,1
84,3
85,2
86,2
87,3
88,3
89,2
90,1
91,3
92,2
93,2
94,1
95,3
96,3
97,2
98,1
99,2
100,3
101,3
102,3
103,2
104,3
105,1
106,3
107,2
108,2
109,3
110,3
111,2
112,2
113,2
114,1
115,3
116,3
117,3
118,1
119,3
120,1
121,1
122,2
123,2
124,1
125,3
126,1
127,3
128,1
129,3
130,1
131,3
132,1
133,1
134,1
135,3
136,3
137,1
138,3
139,3
140,3
141,1
142,2
143,2
144,3
145,1
146,1
147,1
148,2
149,3
150,1
151,1
152,2
153,3
154,1
155,1
156,2
157,2
158,2
159,2
160,1
161,2
162,3
163,3
164,3
165,1
166,2
167,1
168,1
169,3
170,3
171,3
172,1
173,1
174,1
175,3
176,3
177,3
178,2
179,2
180,2
181,2
182,3
183,1
184,1
185,2
186,1
187,3
188,3
189,1
190,1
191,2
192,1
193,1
194,2
195,2
196,1
197,1
198,1
199,2
200,2
201,3
202,1
203,3
204,3
205,1
206,1
207,3
208,2
209,3
210,3
211,1
212,1
213,3
214,1
215,2
216,1
217,1
218,3
219,3
220,3
221,3
222,3
223,3
224,2
225,2
226,1
227,1
228,2
229,1
230,2
231,2
232,3
233,2
234,2
235,3
236,3
237,3
238,1
239,2
240,3
241,1
242,3
243,2
244,3
245,3
246,3
247,1
248,3
249,3
250,3
251,3
252,1
253,1
254,3
255,1
256,1
257,3
258,3
259,1
260,3
261,2
262,1
263,1
264,1
265,2
266,3
267,3
268,3
269,3
270,3
271,1
272,2
273,1
274,1
275,3
276,3
277,3
278,2
279,2
280,1
281,2
282,2
283,3
284,3
285,2
286,1
287,1
288,2
289,1
290,1
291,1
292,1
293,3
294,3
295,2
296,1
297,1
298,1
299,2
