id,y
0,1
1,1
2,1
3,3
4,3
5,3
6,3
7,1
8,3
9,3
10,1
11,1
12,2
13,1
14,3
15,1
16,2
17,3
18,1
19,1
20,2
21,1
22,2
23,3
24,1
25,1
26,3
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,2
35,2
36,2
37,1
38,2
39,1
40,3
41,1
42,1
43,1
44,3
45,1
46,1
47,3
48,1
49,2
50,1
51,2
52,1
53,1
54,1
55,3
56,3
57,3
58,3
59,3
60,1
61,1
62,1
63,3
64,1
65,3
66,3
67,3
68,3
69,1
70,1
71,2
72,1
73,1
74,1
75,3
76,3
77,3
78,2
79,1
80,1
81,1
82,1
83,1
84,1
85,3
86,3
87,1
88,3
89,2
90,1
91,2
92,1
93,3
94,1
95,3
96,3
97,2
98,1
99,1
100,3
101,1
102,3
103,2
104,3
105,1
106,3
107,3
108,2
109,1
110,3
111,2
112,2
113,1
114,1
115,3
116,3
117,3
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,1
127,2
128,3
129,1
130,1
131,3
132,1
133,3
134,3
135,3
136,3
137,1
138,3
139,1
140,1
141,1
142,1
143,2
144,3
145,3
146,1
147,2
148,1
149,1
150,3
151,1
152,2
153,3
154,3
155,1
156,1
157,3
158,3
159,3
160,3
161,2
162,3
163,3
164,3
165,1
166,1
167,1
168,1
169,1
170,3
171,3
172,1
173,1
174,1
175,1
176,3
177,3
178,2
179,3
180,2
181,2
182,3
183,1
184,3
185,2
186,1
187,3
188,1
189,3
190,1
191,2
192,3
193,1
194,2
195,3
196,1
197,1
198,1
199,2
200,2
201,1
202,1
203,3
204,1
205,1
206,1
207,3
208,2
209,1
210,3
211,1
212,3
213,3
214,3
215,3
216,1
217,3
218,3
219,1
220,2
221,3
222,2
223,1
224,2
225,1
226,1
227,1
228,1
229,1
230,1
231,3
232,1
233,2
234,2
235,2
236,1
237,2
238,1
239,3
240,1
241,1
242,3
243,2
244,1
245,1
246,2
247,3
248,3
249,3
250,3
251,3
252,1
253,1
254,1
255,1
256,1
257,1
258,2
259,1
260,2
261,2
262,3
263,1
264,1
265,2
266,1
267,1
268,3
269,3
270,2
271,1
272,2
273,1
274,1
275,1
276,3
277,3
278,2
279,1
280,1
281,2
282,2
283,3
284,1
285,1
286,1
287,1
288,2
289,3
290,1
291,1
292,1
293,3
294,1
295,3
296,3
297,1
298,2
299,1
