,1,2,3,4,5,6,7,8,9,10
,24,2,3,3.1,1,1.1,2.1,3.2,0,1.2
15,32,1,2,4,1,1,3,2,1,1
18,37,1,2,2,1,1,2,2,1,1
36,35,1,3,0,1,1,2,2,1,1
38,38,1,3,4,1,0,2,2,0,1
60,46,1,2,3,1,1,2,1,1,1
71,30,1,2,4,1,1,4,1,0,1
89,30,1,3,1,1,1,3,4,0,1
101,39,1,1,5,1,0,3,1,1,1
104,46,1,2,8,1,1,3,3,1,1
153,28,1,1,3,1,1,3,1,0,1
190,45,1,1,8,1,1,2,2,1,1
195,23,1,1,3,1,1,2,1,1,1
294,41,1,3,10,1,1,2,3,1,1
308,45,1,1,0,0,0,2,1,0,1
311,27,1,2,4,1,1,3,1,1,1
317,49,1,3,0,1,1,3,3,1,1
321,27,1,2,4,1,1,1,4,1,1
381,48,1,1,1,1,0,3,3,1,1
392,42,1,4,4,1,1,1,3,0,1
406,48,1,1,8,1,1,1,1,1,1
434,26,1,3,1,1,1,3,1,0,1
455,47,1,2,2,1,1,2,4,0,1
467,43,1,3,8,1,1,3,1,0,1
469,42,1,3,12,1,1,2,4,0,1
473,43,1,3,5,1,0,3,2,0,1
474,48,1,1,6,1,1,2,3,1,1
479,48,1,2,8,1,1,3,1,0,1
492,47,1,4,7,1,1,2,3,0,1
515,45,1,3,1,1,1,2,3,1,1
519,44,1,3,4,1,1,3,3,1,1
532,28,1,4,0,1,0,4,1,0,1
551,25,1,3,1,1,1,4,2,0,1
596,48,1,1,7,1,1,2,4,0,1
605,25,1,4,2,1,0,3,3,1,1
615,47,1,1,4,1,1,2,2,0,1
618,33,1,1,5,1,1,3,1,1,1
670,41,1,3,3,1,0,2,4,0,1
697,43,1,2,8,1,1,2,4,0,1
709,48,1,3,4,1,1,3,3,1,1
730,39,1,2,2,1,1,3,1,1,1
735,44,1,2,2,1,1,3,1,0,1
751,47,1,1,6,1,0,3,1,0,1
754,30,1,1,5,1,1,2,2,0,1
756,43,1,2,1,1,1,3,4,1,1
766,47,1,2,2,1,0,1,3,0,1
769,37,1,3,0,1,1,3,4,0,1
781,44,1,3,0,1,1,2,3,0,1
794,44,1,4,9,1,1,1,2,0,1
797,49,1,3,6,1,1,2,4,0,1
803,47,1,2,2,1,1,2,3,1,1
810,38,1,2,8,1,1,3,3,1,1
813,47,1,1,7,1,1,2,3,1,1
822,43,1,2,8,1,0,3,1,0,1
823,36,1,4,1,1,1,3,3,0,1
841,42,1,4,11,0,1,2,2,1,1
853,48,1,1,8,1,0,2,2,1,1
869,43,1,3,2,1,0,2,2,1,1
874,49,1,2,8,1,1,3,1,1,1
899,38,1,3,2,1,0,3,3,1,1
956,48,1,3,4,1,1,3,4,1,1
958,34,1,3,4,1,0,3,4,0,1
972,46,1,2,7,1,1,3,1,1,1
983,29,1,2,7,1,1,2,4,0,1
985,30,1,1,7,1,1,2,3,0,1
990,48,1,3,5,1,1,3,2,0,1
993,45,1,2,6,1,1,3,3,1,1
999,38,1,2,12,1,1,2,3,0,1
1053,47,1,2,7,1,0,3,2,0,1
1062,49,1,2,5,1,0,2,2,1,1
1077,40,1,1,2,1,0,3,4,0,1
1088,40,1,1,0,1,1,3,2,0,1
1095,41,1,4,4,1,1,3,3,0,1
94,26,1,1,2,1,1,3,4,0,2
193,47,1,1,10,1,1,3,3,0,2
331,34,1,2,5,1,1,3,4,0,2
348,35,1,2,9,1,0,3,1,0,2
620,47,1,1,8,1,1,3,4,1,2
845,24,1,4,1,1,0,4,2,1,2
1052,43,1,3,4,1,1,1,4,0,2
46,34,1,4,4,1,1,3,4,1,3
67,22,1,2,2,1,1,3,4,0,3
138,39,1,2,2,1,0,2,4,0,3
142,24,1,2,3,1,1,3,2,0,3
184,35,1,2,5,1,1,3,3,0,3
215,46,1,2,9,1,0,3,4,1,3
220,24,1,3,4,1,1,3,3,0,3
225,41,1,2,6,1,1,3,3,0,3
269,32,1,3,4,1,1,3,3,0,3
307,36,1,3,6,1,1,3,2,0,3
359,36,1,1,5,1,1,3,3,0,3
369,23,1,2,3,1,1,3,2,1,3
370,30,1,3,2,1,1,3,4,0,3
377,35,1,2,6,1,1,2,2,1,3
395,35,1,2,5,1,1,2,2,1,3
431,25,1,2,3,1,1,2,3,0,3
475,32,1,2,6,0,1,2,3,0,3
485,45,1,3,3,1,1,3,2,0,3
521,32,1,4,4,1,1,3,2,0,3
543,36,1,2,4,1,1,3,1,1,3
621,47,1,3,9,1,0,3,3,0,3
649,29,1,2,5,1,0,1,2,0,3
663,29,1,3,5,1,1,3,3,0,3
692,22,1,3,2,1,1,3,1,0,3
715,29,1,4,3,1,1,4,4,1,3
764,22,1,2,3,1,1,3,1,1,3
922,28,1,2,4,1,1,2,3,0,3
942,41,1,4,9,1,1,2,1,0,3
948,41,1,4,5,1,0,2,4,0,3
994,24,1,2,3,1,1,3,2,0,3
1001,35,1,2,4,1,0,4,4,0,3
1007,31,1,1,3,1,1,4,2,1,3
1019,29,1,2,1,1,1,3,3,0,3
1051,28,1,3,5,1,1,3,4,0,3
1061,30,1,3,4,1,1,3,4,0,3
