id,y
0,1
1,1
2,1
3,1
4,3
5,1
6,3
7,3
8,3
9,3
10,3
11,1
12,2
13,3
14,3
15,1
16,1
17,3
18,3
19,1
20,2
21,1
22,2
23,3
24,1
25,1
26,3
27,3
28,3
29,3
30,1
31,3
32,3
33,1
34,3
35,1
36,2
37,1
38,2
39,1
40,3
41,3
42,1
43,2
44,3
45,1
46,2
47,3
48,3
49,2
50,3
51,2
52,1
53,3
54,3
55,3
56,3
57,3
58,2
59,3
60,2
61,1
62,1
63,3
64,3
65,1
66,3
67,3
68,1
69,1
70,1
71,2
72,1
73,1
74,1
75,1
76,1
77,3
78,2
79,3
80,1
81,3
82,3
83,1
84,1
85,3
86,1
87,3
88,1
89,2
90,1
91,2
92,2
93,1
94,1
95,3
96,3
97,2
98,1
99,3
100,3
101,1
102,3
103,2
104,3
105,1
106,3
107,3
108,2
109,1
110,3
111,2
112,2
113,3
114,1
115,3
116,3
117,3
118,1
119,3
120,1
121,1
122,1
123,3
124,1
125,3
126,1
127,3
128,3
129,2
130,1
131,1
132,1
133,1
134,3
135,3
136,3
137,1
138,3
139,1
140,1
141,2
142,1
143,2
144,3
145,3
146,3
147,3
148,1
149,3
150,3
151,1
152,2
153,3
154,3
155,2
156,3
157,3
158,1
159,3
160,3
161,2
162,3
163,3
164,3
165,1
166,1
167,1
168,3
169,3
170,3
171,3
172,3
173,1
174,1
175,1
176,3
177,3
178,1
179,2
180,2
181,2
182,3
183,1
184,1
185,2
186,1
187,3
188,1
189,3
190,1
191,2
192,3
193,1
194,2
195,3
196,3
197,1
198,1
199,2
200,2
201,1
202,3
203,3
204,3
205,1
206,3
207,3
208,2
209,1
210,3
211,3
212,3
213,3
214,3
215,3
216,1
217,1
218,3
219,1
220,2
221,1
222,2
223,1
224,2
225,1
226,1
227,1
228,3
229,1
230,1
231,3
232,1
233,2
234,2
235,3
236,3
237,2
238,3
239,3
240,3
241,1
242,3
243,2
244,3
245,1
246,2
247,1
248,3
249,3
250,3
251,3
252,1
253,1
254,1
255,1
256,1
257,3
258,3
259,1
260,3
261,2
262,1
263,1
264,1
265,2
266,1
267,3
268,3
269,3
270,2
271,1
272,3
273,1
274,1
275,1
276,3
277,3
278,3
279,3
280,1
281,2
282,2
283,3
284,1
285,3
286,2
287,1
288,2
289,3
290,1
291,1
292,1
293,3
294,3
295,1
296,3
297,1
298,2
299,2
